Date,Open,High,Low,Close,Volume
06/20/2025,"98.00","98.31","97.95","98.22","6,213,004"
06/18/2025,"98.21","98.40","98.03","98.13","5,907,865"
06/17/2025,"97.95","98.12","97.76","98.06","5,312,113"
06/16/2025,"97.89","98.07","97.75","97.76","5,680,895"
06/13/2025,"98.11","98.16","97.76","97.96","8,050,549"
06/12/2025,"98.24","98.32","98.12","98.31","5,726,351"
06/11/2025,"97.79","97.98","97.70","97.95","5,992,536"
06/10/2025,"97.72","97.74","97.51","97.62","4,990,864"
06/09/2025,"97.29","97.54","97.27","97.40","7,096,604"
06/06/2025,"97.46","97.53","97.25","97.28","6,299,934"
06/05/2025,"98.03","98.12","97.77","97.78","10,456,610"
06/04/2025,"97.75","98.09","97.69","98.03","7,761,493"
06/03/2025,"97.60","97.75","97.37","97.45","7,177,836"
06/02/2025,"97.23","97.60","97.23","97.52","28,390,080"
05/30/2025,"97.86","98.10","97.80","98.10","15,488,430"
05/29/2025,"97.74","97.94","97.70","97.86","7,724,141"
05/28/2025,"97.56","97.67","97.38","97.50","4,909,442"
05/27/2025,"97.51","97.74","97.42","97.68","7,461,471"
05/23/2025,"97.34","97.38","97.08","97.24","5,210,517"
05/22/2025,"96.77","97.11","96.66","97.10","6,084,846"
05/21/2025,"97.17","97.28","96.74","96.82","12,393,430"
05/20/2025,"97.52","97.54","97.28","97.46","7,496,635"
05/19/2025,"97.14","97.66","97.10","97.63","7,232,766"
05/16/2025,"97.91","97.92","97.62","97.66","5,262,544"
05/15/2025,"97.31","97.60","97.22","97.60","7,638,874"
05/14/2025,"97.28","97.34","97.01","97.05","7,350,713"
05/13/2025,"97.50","97.55","97.24","97.33","6,305,463"
05/12/2025,"97.45","97.66","97.33","97.43","10,768,260"
05/09/2025,"97.86","97.97","97.74","97.76","5,739,278"
05/08/2025,"98.21","98.23","97.65","97.66","7,814,291"
05/07/2025,"98.16","98.34","98.09","98.17","6,556,985"
05/06/2025,"97.78","98.02","97.65","98.02","11,730,110"
05/05/2025,"97.90","97.91","97.65","97.78","14,273,810"
05/02/2025,"98.06","98.34","97.82","97.95","9,879,165"
05/01/2025,"98.83","98.87","98.28","98.43","6,912,635"
04/30/2025,"98.99","99.17","98.88","99.02","7,370,375"
04/29/2025,"98.76","99.11","98.75","99.11","6,731,098"
04/28/2025,"98.52","98.90","98.50","98.87","4,890,765"
04/25/2025,"98.47","98.63","98.36","98.60","9,058,952"
04/24/2025,"98.06","98.25","98.00","98.24","8,524,534"
04/23/2025,"98.33","98.47","97.65","97.70","13,376,710"
04/22/2025,"97.61","97.77","97.45","97.46","6,521,502"
04/21/2025,"97.61","97.83","97.28","97.28","7,925,680"
04/17/2025,"98.06","98.11","97.81","97.87","5,589,431"
04/16/2025,"97.88","98.19","97.72","98.12","10,105,020"
04/15/2025,"97.60","97.96","97.51","97.81","10,074,370"
04/14/2025,"97.44","97.69","97.27","97.61","7,940,563"
04/11/2025,"96.66","97.17","96.15","97.04","8,437,429"
04/10/2025,"97.67","97.86","97.11","97.14","9,940,126"
04/09/2025,"97.07","97.99","96.63","97.91","16,244,400"
04/08/2025,"98.10","98.69","97.64","97.69","13,173,370"
04/07/2025,"99.22","99.31","98.00","98.20","21,796,529"
04/04/2025,"99.92","100.55","99.44","99.46","14,914,280"
04/03/2025,"99.47","99.73","99.05","99.37","9,905,042"
04/02/2025,"99.17","99.21","98.62","98.85","8,225,068"
04/01/2025,"98.81","99.13","98.62","98.96","10,295,170"
03/31/2025,"98.98","99.09","98.70","98.92","13,350,750"
03/28/2025,"98.54","98.82","98.46","98.73","8,534,084"
03/27/2025,"98.16","98.23","98.01","98.16","9,513,010"
03/26/2025,"98.36","98.40","98.20","98.21","6,744,041"
03/25/2025,"98.37","98.56","98.34","98.45","5,663,057"
03/24/2025,"98.60","98.64","98.32","98.36","4,894,841"
03/21/2025,"98.96","99.04","98.74","98.74","5,028,775"
03/20/2025,"99.22","99.25","98.80","98.86","6,556,791"
03/19/2025,"98.42","98.83","98.33","98.80","6,764,189"
03/18/2025,"98.30","98.62","98.28","98.51","9,022,067"
03/17/2025,"98.49","98.65","98.35","98.41","10,605,920"
03/14/2025,"98.34","98.42","98.25","98.28","8,949,789"
03/13/2025,"98.09","98.50","98.01","98.48","7,959,567"
03/12/2025,"98.30","98.43","98.16","98.18","8,436,677"
03/11/2025,"98.77","98.94","98.42","98.47","10,187,880"
03/10/2025,"98.81","98.99","98.73","98.82","12,319,020"
03/07/2025,"98.85","98.98","98.30","98.35","6,450,705"
03/06/2025,"98.51","98.62","98.23","98.47","9,946,193"
03/05/2025,"98.97","99.06","98.55","98.57","7,302,567"
03/04/2025,"99.30","99.40","98.81","98.91","7,532,407"
03/03/2025,"98.66","99.19","98.60","99.16","7,533,471"
02/28/2025,"99.08","99.29","98.92","99.25","14,453,010"
02/27/2025,"98.77","98.93","98.73","98.81","6,263,221"
02/26/2025,"98.77","99.02","98.65","98.96","5,036,046"
02/25/2025,"98.65","98.81","98.56","98.80","5,801,251"
02/24/2025,"97.96","98.24","97.94","98.19","7,298,424"
02/21/2025,"97.75","98.18","97.70","98.02","7,070,574"
02/20/2025,"97.54","97.67","97.50","97.60","27,958,750"
02/19/2025,"97.27","97.50","97.27","97.45","5,604,824"
02/18/2025,"97.46","97.58","97.31","97.31","8,159,401"
02/14/2025,"97.75","97.88","97.67","97.70","6,257,547"
02/13/2025,"97.16","97.43","96.84","97.34","7,041,568"
02/12/2025,"96.77","96.88","96.61","96.76","6,404,974"
02/11/2025,"97.27","97.34","97.22","97.27","8,001,204"
02/10/2025,"97.57","97.68","97.41","97.49","6,038,721"
02/07/2025,"97.52","97.59","97.36","97.46","6,422,344"
02/06/2025,"97.77","97.88","97.63","97.77","6,629,549"
02/05/2025,"97.70","98.00","97.66","97.87","9,716,763"
02/04/2025,"97.02","97.38","97.00","97.35","8,483,497"
02/03/2025,"97.34","97.54","97.05","97.17","9,977,153"
01/31/2025,"97.62","97.73","97.26","97.40","10,750,150"
01/30/2025,"97.62","97.73","97.52","97.60","6,802,911"
01/29/2025,"97.58","97.65","97.22","97.46","5,912,753"
01/28/2025,"97.34","97.53","97.29","97.52","5,730,533"
01/27/2025,"97.49","97.56","97.31","97.55","7,601,955"
01/24/2025,"96.87","97.11","96.80","97.01","6,459,421"
01/23/2025,"96.77","96.92","96.72","96.85","7,706,998"
01/22/2025,"97.21","97.25","96.96","97.01","7,283,359"
01/21/2025,"97.15","97.28","97.09","97.24","7,726,045"
01/17/2025,"97.07","97.10","96.87","96.92","5,360,235"
01/16/2025,"96.63","97.03","96.50","96.92","9,810,870"
01/15/2025,"96.94","96.94","96.55","96.71","9,562,977"
01/14/2025,"95.86","95.93","95.75","95.88","5,487,559"
01/13/2025,"95.94","95.95","95.74","95.85","10,420,720"
01/10/2025,"95.85","96.23","95.85","95.94","9,822,014"
01/08/2025,"96.27","96.52","96.23","96.48","7,444,537"
01/07/2025,"96.61","96.68","96.24","96.37","9,153,293"
01/06/2025,"96.72","96.80","96.58","96.71","9,248,349"
01/03/2025,"97.03","97.07","96.79","96.81","5,331,125"
01/02/2025,"97.07","97.21","96.78","96.91","5,547,684"
12/31/2024,"97.15","97.21","96.83","96.90","12,276,730"
12/30/2024,"97.00","97.08","96.96","97.02","10,154,730"
12/27/2024,"96.79","96.89","96.61","96.64","8,601,525"
12/26/2024,"96.52","96.88","96.51","96.84","10,620,330"
12/24/2024,"96.50","96.78","96.47","96.77","4,739,264"
12/23/2024,"96.95","96.97","96.60","96.66","10,540,780"
12/20/2024,"97.05","97.22","96.94","96.96","8,657,695"
12/19/2024,"96.76","96.82","96.50","96.70","15,490,130"
12/18/2024,"97.66","97.80","96.90","96.95","14,261,480"
12/17/2024,"98.00","98.13","97.95","98.01","7,239,282"
12/16/2024,"98.07","98.10","97.88","98.01","7,124,119"
12/13/2024,"98.20","98.23","97.87","97.92","6,566,351"
12/12/2024,"98.53","98.58","98.25","98.29","12,353,320"
12/11/2024,"99.08","99.15","98.66","98.69","8,095,829"
12/10/2024,"98.87","98.99","98.80","98.92","5,984,610"
12/09/2024,"99.20","99.22","99.03","99.04","10,689,040"
12/06/2024,"99.40","99.44","99.14","99.33","12,890,680"
12/05/2024,"98.96","99.11","98.85","99.05","8,787,117"
12/04/2024,"98.52","99.09","98.48","99.03","7,448,899"
12/03/2024,"98.97","99.06","98.67","98.71","6,889,766"
12/02/2024,"99.39","99.60","98.58","98.90","18,397,840"
11/29/2024,"99.15","99.22","99.08","99.20","9,623,184"
11/27/2024,"98.80","98.93","98.65","98.81","8,749,917"
11/26/2024,"98.49","98.54","98.30","98.54","11,303,240"
11/25/2024,"98.53","98.70","98.43","98.69","9,246,256"
11/22/2024,"97.87","97.92","97.72","97.81","4,989,634"
11/21/2024,"97.85","98.01","97.67","97.74","6,348,553"
11/20/2024,"97.69","97.93","97.67","97.79","5,551,154"
11/19/2024,"97.95","98.05","97.87","97.89","4,735,960"
11/18/2024,"97.55","97.82","97.47","97.75","5,260,760"
11/15/2024,"97.44","97.88","97.26","97.66","11,844,290"
11/14/2024,"97.85","97.99","97.57","97.65","7,312,304"
11/13/2024,"98.17","98.20","97.57","97.69","15,834,910"
11/12/2024,"97.98","98.14","97.65","97.71","16,775,680"
11/11/2024,"98.30","98.33","98.16","98.28","4,501,340"
11/08/2024,"98.48","98.72","98.37","98.50","6,199,838"
11/07/2024,"97.96","98.54","97.90","98.33","17,402,311"
11/06/2024,"97.43","97.82","97.36","97.59","9,158,058"
11/05/2024,"98.09","98.39","97.86","98.36","6,663,038"
11/04/2024,"98.25","98.38","97.95","98.13","6,630,091"
11/01/2024,"98.29","98.38","97.68","97.72","10,387,260"
10/31/2024,"98.32","98.58","98.15","98.42","12,754,770"
10/30/2024,"98.75","98.94","98.40","98.44","11,188,380"
10/29/2024,"98.12","98.56","98.09","98.54","5,421,716"
10/28/2024,"98.64","98.65","98.29","98.43","7,363,142"
10/25/2024,"98.97","98.99","98.54","98.59","9,028,548"
10/24/2024,"98.68","98.95","98.60","98.79","7,559,385"
10/23/2024,"98.57","98.76","98.48","98.60","19,660,141"
10/22/2024,"98.93","99.01","98.77","98.85","11,401,910"
10/21/2024,"99.18","99.21","98.83","98.83","6,874,029"
10/18/2024,"99.63","99.68","99.50","99.52","4,973,029"
10/17/2024,"99.60","99.66","99.42","99.45","5,306,334"
10/16/2024,"99.96","100.04","99.87","99.94","4,741,263"
10/15/2024,"99.74","99.84","99.68","99.81","7,158,682"
10/14/2024,"99.20","99.42","99.17","99.41","3,512,569"
10/11/2024,"99.41","99.62","99.36","99.50","4,878,672"
10/10/2024,"99.45","99.55","99.23","99.47","5,757,678"
10/09/2024,"99.64","99.67","99.47","99.53","8,218,472"
10/08/2024,"99.52","99.79","99.49","99.79","7,340,131"
10/07/2024,"99.64","99.77","99.58","99.62","6,382,168"
10/04/2024,"100.10","100.14","99.89","99.96","9,641,064"
10/03/2024,"100.85","100.89","100.59","100.61","8,751,191"
10/02/2024,"100.88","101.11","100.81","101.02","11,700,910"
10/01/2024,"101.27","101.45","101.15","101.23","8,811,488"
09/30/2024,"101.44","101.48","101.14","101.27","9,105,421"
09/27/2024,"101.41","101.56","101.33","101.50","5,033,279"
09/26/2024,"101.32","101.35","101.00","101.21","8,124,446"
09/25/2024,"101.42","101.43","101.19","101.19","9,259,117"
09/24/2024,"101.27","101.62","101.22","101.58","5,803,587"
09/23/2024,"101.34","101.59","101.19","101.44","8,428,058"
09/20/2024,"101.43","101.65","101.32","101.48","8,464,907"
09/19/2024,"101.41","101.61","101.37","101.57","5,079,896"
09/18/2024,"101.68","102.03","101.53","101.56","6,280,106"
09/17/2024,"101.99","102.03","101.83","101.88","9,256,001"
09/16/2024,"101.83","102.04","101.75","101.98","8,425,911"
09/13/2024,"101.76","101.82","101.62","101.74","5,330,629"
09/12/2024,"101.56","101.65","101.38","101.53","6,419,517"
