Date,Open,High,Low,Close,Volume
06/20/2025,"86.14","86.79","85.95","86.49","26,001,910"
06/18/2025,"86.88","87.09","86.35","86.65","38,588,980"
06/17/2025,"86.00","86.66","85.75","86.50","34,521,566"
06/16/2025,"86.08","86.43","85.46","85.46","36,496,633"
06/13/2025,"86.73","86.88","85.78","86.33","49,373,980"
06/12/2025,"86.89","87.20","86.60","87.17","43,017,809"
06/11/2025,"85.81","86.40","85.71","86.14","36,334,820"
06/10/2025,"86.10","86.18","85.52","85.88","24,857,000"
06/09/2025,"85.04","85.64","85.04","85.44","26,560,750"
06/06/2025,"85.79","85.93","85.28","85.35","38,130,102"
06/05/2025,"86.68","86.93","86.22","86.45","37,715,273"
06/04/2025,"85.79","86.65","85.65","86.39","57,441,527"
06/03/2025,"85.44","85.74","84.89","85.01","33,731,262"
06/02/2025,"85.29","85.47","84.79","85.16","46,213,113"
05/30/2025,"86.09","86.47","85.88","86.28","49,042,059"
05/29/2025,"85.77","86.26","85.64","86.15","39,003,621"
05/28/2025,"85.41","85.54","84.97","85.36","34,806,781"
05/27/2025,"85.35","86.03","85.15","85.73","56,773,406"
05/23/2025,"84.77","84.82","84.31","84.55","47,139,246"
05/22/2025,"83.52","84.43","83.30","84.41","61,747,848"
05/21/2025,"84.68","85.06","83.76","83.97","77,053,055"
05/20/2025,"85.43","85.60","85.06","85.43","35,493,070"
05/19/2025,"84.91","86.12","84.83","86.05","49,361,879"
05/16/2025,"86.87","86.89","86.20","86.30","31,778,180"
05/15/2025,"85.63","86.32","85.48","86.07","59,447,992"
05/14/2025,"85.75","85.87","85.20","85.32","42,119,809"
05/13/2025,"86.13","86.29","85.50","85.89","53,912,160"
05/12/2025,"86.38","86.78","86.19","86.24","32,115,029"
05/09/2025,"87.00","87.31","86.92","87.05","17,007,869"
05/08/2025,"88.02","88.06","86.89","86.92","25,483,680"
05/07/2025,"87.92","88.21","87.82","87.90","23,178,420"
05/06/2025,"86.80","87.53","86.64","87.53","21,095,150"
05/05/2025,"87.35","87.41","86.83","87.24","22,862,811"
05/02/2025,"87.71","88.07","87.54","87.73","32,090,381"
05/01/2025,"89.26","89.28","88.30","88.69","29,932,840"
04/30/2025,"89.78","90.05","89.33","89.47","42,630,594"
04/29/2025,"89.32","90.21","89.30","90.20","22,129,480"
04/28/2025,"88.66","89.53","88.61","89.45","20,130,510"
04/25/2025,"88.90","89.11","88.60","88.89","22,513,930"
04/24/2025,"88.03","88.35","87.76","88.24","24,190,770"
04/23/2025,"88.88","89.06","87.17","87.32","44,082,160"
04/22/2025,"86.82","87.02","86.40","86.48","32,552,090"
04/21/2025,"86.60","87.07","85.98","86.00","39,343,219"
04/17/2025,"88.04","88.20","87.23","87.53","31,758,430"
04/16/2025,"87.80","88.50","87.47","88.31","35,607,340"
04/15/2025,"87.15","88.19","87.04","87.82","22,553,900"
04/14/2025,"87.40","87.71","86.82","87.51","37,596,367"
04/11/2025,"85.87","87.30","85.00","86.89","94,814,141"
04/10/2025,"87.74","88.18","86.35","86.42","78,591,992"
04/09/2025,"87.27","88.91","85.89","88.87","131,353,500"
04/08/2025,"89.28","90.20","88.22","88.35","73,861,859"
04/07/2025,"91.88","92.19","89.80","90.05","124,987,602"
04/04/2025,"93.65","94.09","92.82","92.85","92,794,211"
04/03/2025,"92.52","92.73","91.84","91.85","57,467,359"
04/02/2025,"92.37","92.37","90.66","91.43","43,488,406"
04/01/2025,"91.25","91.91","91.21","91.49","39,800,070"
03/31/2025,"91.23","91.34","90.36","91.03","38,824,320"
03/28/2025,"89.88","90.34","89.81","90.14","39,869,367"
03/27/2025,"88.85","89.03","88.63","88.91","23,674,539"
03/26/2025,"89.39","89.60","89.09","89.17","25,165,320"
03/25/2025,"89.57","90.08","89.51","89.76","22,333,830"
03/24/2025,"90.20","90.26","89.70","89.77","27,985,580"
03/21/2025,"91.33","91.44","90.62","90.70","29,192,080"
03/20/2025,"92.20","92.24","91.16","91.24","35,645,820"
03/19/2025,"90.68","91.22","90.38","91.18","31,378,711"
