date,avg_sentiment,negative,neutral,positive
2024-01-22,-0.128,1,0,0
2024-01-23,0.0,0,1,0
2024-01-25,0.5411,0,0,1
2024-01-29,-0.2023,1,0,0
2024-01-31,-0.296,1,0,0
2024-02-26,0.0772,0,0,1
2024-03-04,0.765,0,0,1
2024-03-06,0.0,0,1,0
2024-03-09,0.0516,0,0,1
2024-04-05,0.305,0,0,1
2024-04-10,0.22544999999999998,1,0,1
2024-04-18,0.0,0,1,0
2024-04-19,0.0,0,1,0
2024-04-20,-0.5379,1,0,0
2024-04-22,-0.4019,1,0,0
2024-04-23,-0.4215,1,0,0
2024-04-24,0.7506,0,0,1
2024-04-27,0.6597,0,0,1
2024-04-30,0.08895,0,1,1
2024-05-01,-0.6868,1,0,0
2024-05-08,0.5719,0,0,1
2024-05-09,0.0,0,1,0
2024-05-13,-0.7752,1,0,0
2024-05-16,0.5423,0,0,1
2024-05-28,0.81,0,0,1
2024-06-16,0.2911,0,0,1
2024-06-28,0.0,0,1,0
2024-07-05,-0.3818,1,0,0
2024-07-14,0.0,0,1,0
2024-07-15,0.0644,0,0,1
2024-07-17,-0.0202,0,1,0
2024-07-18,-0.2553,1,1,0
2024-07-19,0.0,0,2,0
2024-07-21,0.84465,0,0,2
2024-07-28,0.7964,0,0,1
2024-08-05,0.0,0,1,0
2024-08-10,0.4883,0,0,1
2024-08-12,0.128,0,0,1
2024-08-13,-0.46645,2,0,0
2024-08-16,0.5423,0,0,1
2024-08-17,-0.8865,1,0,0
2024-08-19,0.1841,1,0,2
2024-08-23,0.7302,0,0,1
2024-08-29,0.6908,0,0,1
2024-09-11,0.5563,0,0,1
2024-09-13,0.0,0,1,0
2024-09-22,0.0,0,1,0
2024-09-24,0.0,0,1,0
2024-09-25,-0.7059,1,0,0
2024-09-26,0.6208,0,0,2
2024-10-04,0.7351,0,0,1
2024-10-05,-0.4859,1,0,0
2024-10-07,-0.296,1,0,0
2024-10-08,-0.431,1,0,0
2024-10-12,0.41265,0,1,1
2024-10-16,0.010249999999999981,1,0,1
2024-10-23,-0.5106,1,0,0
2024-10-25,0.8007,0,0,1
2024-11-01,-0.72095,2,0,0
2024-11-06,0.5574,0,0,1
2024-11-09,-0.012199999999999989,1,0,1
2024-11-14,0.7184,0,0,1
2024-12-02,0.0,0,1,0
2024-12-17,-0.3612,1,0,0
2024-12-31,0.0,0,1,0
2025-01-03,0.0,0,1,0
2025-01-10,-0.08105000000000001,1,0,1
2025-01-11,0.0,0,1,0
2025-01-25,-0.2263,1,0,0
2025-01-29,-0.3182,1,0,0
2025-02-19,-0.3182,1,0,0
2025-02-27,-0.6476,1,0,0
2025-04-06,0.11225000000000002,1,0,1
2025-04-07,-0.3832,1,0,0
2025-04-09,-0.06474999999999999,1,0,1
2025-04-10,0.2263,0,0,1
2025-04-30,0.0,0,1,0
2025-05-21,0.12695,0,0,2
2025-06-08,-0.4005,1,0,0
2025-06-11,0.3182,0,0,1
2025-06-12,-0.0516,1,0,0
2025-06-19,0.0,0,1,0
